iter	Passed	Remaining
0	31	31662
1	52	26277
2	70	23574
3	90	22634
4	109	21854
5	128	21260
6	147	20947
7	167	20721
8	185	20399
9	205	20368
10	224	20149
11	243	20063
12	263	19972
13	281	19850
14	299	19692
15	319	19621
16	339	19602
17	358	19583
18	377	19485
19	395	19402
20	414	19332
21	431	19187
22	450	19136
23	469	19080
24	486	18987
25	505	18945
26	523	18879
27	540	18764
28	557	18656
29	575	18606
30	592	18532
31	612	18525
32	629	18444
33	646	18372
34	663	18307
35	680	18222
36	698	18179
37	716	18127
38	731	18023
39	750	18015
40	766	17936
41	786	17934
42	804	17899
43	821	17840
44	835	17741
45	853	17694
46	869	17626
47	886	17592
48	904	17546
49	922	17528
50	940	17507
51	959	17487
52	1010	18062
53	1036	18162
54	1067	18334
55	1084	18279
56	1104	18270
57	1121	18211
58	1138	18154
59	1155	18095
60	1172	18052
61	1189	17995
62	1206	17951
63	1225	17924
64	1243	17888
65	1260	17834
66	1278	17808
67	1298	17793
68	1316	17761
69	1331	17686
70	1347	17636
71	1364	17590
72	1383	17563
73	1400	17520
74	1418	17492
75	1436	17465
76	1454	17437
77	1474	17423
78	1489	17369
79	1507	17331
80	1524	17295
81	1541	17262
82	1561	17249
83	1581	17240
84	1597	17199
85	1614	17158
86	1632	17127
87	1649	17099
88	1668	17075
89	1683	17024
90	1702	17006
91	1719	16968
92	1735	16927
93	1751	16884
94	1769	16856
95	1786	16819
96	1802	16783
97	1818	16741
98	1836	16717
99	1855	16697
100	1872	16663
101	1889	16639
102	1908	16618
103	1925	16590
104	1941	16552
105	1960	16531
106	1976	16491
107	1991	16451
108	2009	16427
109	2026	16396
110	2044	16374
111	2062	16356
112	2078	16314
113	2095	16286
114	2111	16252
115	2127	16211
116	2144	16181
117	2160	16148
118	2178	16128
119	2195	16101
120	2211	16067
121	2227	16031
122	2246	16021
123	2263	15991
124	2280	15963
125	2295	15926
126	2314	15910
127	2333	15894
128	2350	15873
129	2368	15849
130	2384	15819
131	2402	15797
132	2419	15774
133	2435	15742
134	2454	15729
135	2471	15704
136	2487	15671
137	2506	15653
138	2522	15624
139	2538	15591
140	2556	15572
141	2572	15540
142	2587	15505
143	2604	15481
144	2620	15449
145	2637	15428
146	2655	15408
147	2673	15389
148	2691	15374
149	2708	15345
150	2725	15321
151	2740	15288
152	2755	15256
153	2772	15232
154	2790	15212
155	2807	15189
156	2825	15172
157	2844	15159
158	2861	15135
159	2878	15110
160	2894	15083
161	2910	15053
162	2926	15027
163	2942	15001
164	2961	14986
165	2977	14959
166	2993	14933
167	3010	14910
168	3028	14894
169	3047	14878
170	3062	14847
171	3080	14827
172	3097	14807
173	3115	14791
174	3131	14762
175	3149	14743
176	3165	14716
177	3182	14698
178	3201	14684
179	3219	14666
180	3238	14652
181	3253	14624
182	3270	14602
183	3286	14572
184	3302	14547
185	3318	14524
186	3335	14500
187	3353	14484
188	3370	14464
